Индекс,,,Содержание,Тип
ПК-3,,,"Осуществлять техническую поддержку процессов создания, тестирования, отладки, модификации и эксплуатации программных, программно-аппаратных, инфокоммуникационных средств вычислительной техники и интеграционных решений",-
,ПК-3.1,,"•	Знать методы, средства, приёмы технической поддержки процессов создания, тестирования, отладки, модификации и эксплуатации программных, программно-аппаратных, инфокоммуникационных средств вычислительной техники и интеграционных решений
•	Знать: виды тестирования ПО, критерии покрытия исходного кода тестами; принципы разработки ПО, методы отладки ПО, механизмы обработки ошибок, соглашения о кодировании; принципы построения инфокоммуникационных систем, типовые схемы их организации.",-
,,Б1.В.03,Основы проектирования программного обеспечения,
,,Б1.В.04,Основы конструирования средств вычислительной техники,
,,Б1.В.13,Схемотехника ЭВМ,
,,Б1.В.15,Методы проектирования и САПР вычислительных систем,
,,Б1.В.18,Интернет-технологии,
,,Б1.В.20,Междисциплинарный курсовой прект,
,,Б1.В.ДВ.01.01,Цифровая обработка сигналов,
,,Б1.В.ДВ.03.01,Системы автоматизации испытаний,
,,Б2.В.01(П),Технологическая (проектно-технологическая) практика,
,,Б2.В.02(П),Преддипломная,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,ПК-3.2,,"•	Уметь осуществлять техническую поддержку процессов создания, тестирования, отладки, модификации и эксплуатации программных, программно-аппаратных, инфокоммуникационных средств вычислительной техники и интеграционных решений
•	Уметь: организовать тестирование ПО, оценить качество покрытия кода тестами; проектировать инфокоммуникационные системы в соответствии с техническим заданием; организовать процесс разработки ПО с учетом требований технического задания, имеющихся ресурсов и ограничений.",-
,,Б1.В.03,Основы проектирования программного обеспечения,
,,Б1.В.04,Основы конструирования средств вычислительной техники,
,,Б1.В.13,Схемотехника ЭВМ,
,,Б1.В.15,Методы проектирования и САПР вычислительных систем,
,,Б1.В.18,Интернет-технологии,
,,Б1.В.20,Междисциплинарный курсовой прект,
,,Б1.В.ДВ.01.01,Цифровая обработка сигналов,
,,Б1.В.ДВ.03.01,Системы автоматизации испытаний,
,,Б2.В.01(П),Технологическая (проектно-технологическая) практика,
,,Б2.В.02(П),Преддипломная,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,ПК-3.3,,"•	Владеть методами, средствами, приёмами технической поддержки процессов создания, тестирования, отладки, модификации и эксплуатации программных, программно-аппаратных, инфокоммуникационных средств вычислительной техники и интеграционных решений
•	Владеть:  инструментами автоматизированного тестирования кода, форматирования кода в соответствии с соглашением о кодировании;  инструментами и навыками проектирования ПО с учетом SOLID-принципов;  навыками работы в команде, проектирования, разработки, рефакторинга и тестирования кода.",-
,,Б1.В.03,Основы проектирования программного обеспечения,
,,Б1.В.04,Основы конструирования средств вычислительной техники,
,,Б1.В.13,Схемотехника ЭВМ,
,,Б1.В.15,Методы проектирования и САПР вычислительных систем,
,,Б1.В.18,Интернет-технологии,
,,Б1.В.20,Междисциплинарный курсовой прект,
,,Б1.В.ДВ.01.01,Цифровая обработка сигналов,
,,Б1.В.ДВ.03.01,Системы автоматизации испытаний,
,,Б2.В.01(П),Технологическая (проектно-технологическая) практика,
,,Б2.В.02(П),Преддипломная,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
ПК-4,,,"Способен осуществлять эксплуатацию и управление программными, программно-аппаратными, инфокоммуникационными средствами вычислительной техники и интеграционными решениями",-
,ПК-4.1,,"•	Знать методы, средства, приёмы эксплуатации и управления программными, программно-аппаратными, инфокоммуникационными средствами вычислительной техники и интеграционными решениями
•	Знать технические инструкции по работе с установленным аппаратным, программно-аппаратным и программным обеспечением и оборудованием
•	Знать типовые ошибки, возникающие при работе инфокоммуникационной системы, признаки их проявления при работе и методы устранения
•	Знать методы и средства восстановления работоспособности программно-аппаратных средств инфокоммуникационной системы и/или ее составляющих после сбоев
•	Знать инструкции по установке и эксплуатации администрируемых сетевых устройств и программного обеспечения
•	Знать архитектуры аппаратных, программных и программно-аппаратных средств администрируемой сети
•	Знать протоколы канального, сетевого, транспортного и прикладного уровней модели взаимодействия открытых систем
•	Знать: принципы построения клиент-серверных приложений, облачных сервисов, протоколы работы с ними; основные протоколы взаимодействия клиент-серверных приложений, облачных сервисов; основные принципы виртуализации; методы виртуализации, используемые при разработки ПО.",-
,,Б1.В.05,Основы сетевых технологий,
,,Б1.В.08,Системное программное обеспечение,
,,Б1.В.11,Защита вычислительных систем,
,,Б1.В.15,Методы проектирования и САПР вычислительных систем,
,,Б1.В.20,Междисциплинарный курсовой прект,
,,Б1.В.ДВ.02.01,Сетевые ОС и администрирование сетей,
,,Б1.В.ДВ.02.02,Организация процесса проектирования программного обеспечения,
,,Б1.В.ДВ.04.01,Беспроводные и сенсорные сети,
,,Б2.В.01(П),Технологическая (проектно-технологическая) практика,
,,Б2.В.02(П),Преддипломная,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,ПК-4.2,,"•	Уметь осуществлять эксплуатацию и управление программными, программно-аппаратными, инфокоммуникационными средствами вычислительной техники и интеграционными решениями
•	Уметь пользоваться нормативно-технической документацией на администрируемые аппаратные, программно-аппаратные и программные средства
•	Уметь выявлять причины возникновения аварийных ситуаций на программно-аппаратных средствах инфокоммуникационной системы и/или ее составляющих
•	Уметь устранять возникающие отклонения от штатного режима работы инфокоммуникационной системы и/или ее составляющих
•	Уметь конфигурировать операционные системы сетевых элементов инфокоммуникационной системы
•	Уметь проверять корректность функционирования администрируемых сетевых устройств и программного обеспечения
•	Уметь определять базовую производительности сетевой инфраструктуры инфокоммуникационной системы.
•	Уметь: осуществлять эксплуатацию и управление клиент-серверными системами; организовывать тестирование клиент-серверных приложений, доставить программисту окружение, обеспечивающее демонстрацию неисправности; разворачивать клиент-серверные приложения с использованием средств виртуализации.",-
,,Б1.В.05,Основы сетевых технологий,
,,Б1.В.08,Системное программное обеспечение,
,,Б1.В.11,Защита вычислительных систем,
,,Б1.В.15,Методы проектирования и САПР вычислительных систем,
,,Б1.В.20,Междисциплинарный курсовой прект,
,,Б1.В.ДВ.02.01,Сетевые ОС и администрирование сетей,
,,Б1.В.ДВ.02.02,Организация процесса проектирования программного обеспечения,
,,Б1.В.ДВ.04.01,Беспроводные и сенсорные сети,
,,Б2.В.01(П),Технологическая (проектно-технологическая) практика,
,,Б2.В.02(П),Преддипломная,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
,ПК-4.3,,"•	Владеть методами, средствами, приёмами эксплуатации и управления программными, программно-аппаратными, инфокоммуникационными средствами вычислительной техники и интеграционными решениями
•	Владеть навыками установки и эксплуатации аппаратного, программно-аппаратного и программного обеспечения  инфокоммуникационной системы
•	Владеть навыками обнаружения и анализа причин ошибок, возникающих при работе инфокоммуникационной системы
•	Владеть навыками устранения возникающих отклонений от штатного режима работы инфокоммуникационной системы и/или ее составляющих
•	Владеть навыками конфигурирования базовых параметров и сетевых интерфейсов, протоколов сетевого, канального и транспортного уровня
•	Владеть навыками проверки функционирования устройства после установки и настройки программного обеспечения
•	Владеть навыками поиска и устранения отказов сетевых устройств и программного обеспечения
•	Владеть: инструментами анализа неисправностей, конфигурации сетевых настроек операционной системы; средствами виртуализации – Virtual Box, VMware и т.д. инструментами тестирования API – Google Postman и т.п.; средствами контейнерной виртуализации – docker или аналогами",-
,,Б1.В.05,Основы сетевых технологий,
,,Б1.В.08,Системное программное обеспечение,
,,Б1.В.11,Защита вычислительных систем,
,,Б1.В.15,Методы проектирования и САПР вычислительных систем,
,,Б1.В.20,Междисциплинарный курсовой прект,
,,Б1.В.ДВ.02.01,Сетевые ОС и администрирование сетей,
,,Б1.В.ДВ.02.02,Организация процесса проектирования программного обеспечения,
,,Б1.В.ДВ.04.01,Беспроводные и сенсорные сети,
,,Б2.В.01(П),Технологическая (проектно-технологическая) практика,
,,Б2.В.02(П),Преддипломная,
,,Б3.01(Д),выполнение и защита выпускной квалификационной работы,
