Индекс,,,,,Наименование,Компетенции,Требования к образованию
,,,,ТД.3,Поиск ошибок сетевых устройств и программного обеспечения,ПК-4,
,,,,ТД.4,Устранение ошибок сетевых устройств и программного обеспечения,ПК-4,
,,,,ТД.5,Документирование отказов и ошибок в работе сетевых устройств и программного обеспечения,ПК-4,
,,,,Зн.1,"Общие принципы функционирования аппаратных, программных и программно-аппаратных средств администрируемой сети",ПК-4,
,,,,Зн.2,"Архитектуры аппаратных, программных и программно-аппаратных средств администрируемой сети",ПК-4,
,,,,Зн.3,Инструкции по установке администрируемых сетевых устройств,ПК-4,
,,,,Зн.4,Инструкции по эксплуатации администрируемых сетевых устройств,ПК-4,
,,,,Зн.5,Инструкции по установке администрируемого программного обеспечения,ПК-4,
,,,,Зн.6,Инструкции по эксплуатации администрируемого программного обеспечения,ПК-4,
,,,,Зн.7,"Протоколы канального, сетевого, транспортного и прикладного уровней модели взаимодействия открытых систем",ПК-4,
,,,,Зн.8,Модель ISO для управления сетевым трафиком,ПК-4,
,,,,Зн.9,Модели IEEE,ПК-4,
,,,,Зн.10,"Модели информационно-телекоммуникационной сети ""Интернет""",ПК-4,
,,,,Зн.11,Регламенты проведения профилактических работ на администрируемой инфокоммуникационной системе,ПК-4,
,,,D/05.6,,Контроль производительности сетевой инфраструктуры инфокоммуникационной системы,ПК-4,
,,,,ТД.1,Определение базовой производительности сетевой инфраструктуры инфокоммуникационной системы,ПК-4,
,,,,ТД.3,Коррекция производительности сетевой инфокоммуникационной системы,ПК-4,
,,,,ТД.4,Документирование отклонений производительности сетевой инфраструктуры инфокоммуникационной системы,ПК-4,
,,,,У.1,Использовать современные стандарты при администрировании устройств и программного обеспечения,ПК-4,
,,,,У.2,Применять штатные программно-аппаратные средства для контроля производительности сетевой инфраструктуры,ПК-4,
,,,,У.3,Применять внешние программно-аппаратные средства для контроля производительности сетевой инфраструктуры,ПК-4,
,,,,У.4,Пользоваться нормативно-технической документацией в области инфокоммуникационных технологий,ПК-4,
,,,,Зн.1,"Общие принципы функционирования аппаратных, программных и программно-аппаратных средств администрируемой сети",ПК-4,
,,,,Зн.2,"Архитектуры аппаратных, программных и программно-аппаратных средств администрируемой сети",ПК-4,
,,,,Зн.3,Инструкции по установке администрируемых сетевых устройств,ПК-4,
,,,,Зн.4,Инструкции по эксплуатации администрируемых сетевых устройств,ПК-4,
,,,,Зн.5,Инструкции по установке администрируемого программного обеспечения,ПК-4,
,,,,Зн.6,Инструкции по эксплуатации администрируемого программного обеспечения,ПК-4,
,,,,Зн.7,"Протоколы канального, сетевого, транспортного и прикладного уровней модели взаимодействия открытых систем",ПК-4,
,,,,Зн.8,Модель ISO для управления сетевым трафиком,ПК-4,
,,,,Зн.9,Модели IEEE,ПК-4,
,,,,Зн.10,"Модели информационно-телекоммуникационной сети ""Интернет""",ПК-4,
,,,,Зн.11,Регламенты проведения профилактических работ на администрируемой инфокоммуникационной системе,ПК-4,
,,,D/06.6,,Проведение регламентных работ на сетевых устройствах и программном обеспечении инфокоммуникационной системы,ПК-4,
,,,,ТД.1,Осуществление профилактических работ по поддержке сетевых устройств,ПК-4,
,,,,ТД.2,Осуществление профилактических работ по поддержке программного обеспечения,ПК-4,
,,,,ТД.3,Планирование стратегии восстановления сетевой системы и программного обеспечения инфокоммуникационной системы,ПК-4,
,,,,Зн.1,"Общие принципы функционирования аппаратных, программных и программно-аппаратных средств администрируемой сети",ПК-4,
,,,,Зн.2,"Архитектуры аппаратных, программных и программно-аппаратных средств администрируемой сети",ПК-4,
,,,,Зн.3,Инструкции по установке администрируемых сетевых устройств,ПК-4,
,,,,Зн.4,Инструкции по эксплуатации администрируемых сетевых устройств,ПК-4,
,,,,Зн.5,Инструкции по установке администрируемого программного обеспечения,ПК-4,
,,,,Зн.6,Инструкции по эксплуатации администрируемого программного обеспечения,ПК-4,
,,,,Зн.7,"Протоколы канального, сетевого, транспортного и прикладного уровней модели взаимодействия открытых систем",ПК-4,
,,,,Зн.8,Модель ISO для управления сетевым трафиком,ПК-4,
,,,,Зн.9,Модели IEEE,ПК-4,
,,,,Зн.10,"Модели информационно-телекоммуникационной сети ""Интернет""",ПК-4,
,,,,Зн.11,Регламенты проведения профилактических работ на администрируемой инфокоммуникационной системе,ПК-4,
,,F,,,Администрирование системного программного обеспечения инфокоммуникационной системы организации,ПК-4,"Высшее образование - специалитет, магистратура
Дополнительное профессиональное образование - программы повышения квалификации, программы профессиональной переподготовки в области компьютерных и телекоммуникационных систем и средств"
,,,F/01.7,,Установка системного программного обеспечения,ПК-4,
,,,,ТД.1,Подготовка площадки и оборудования для установки операционных систем в соответствии с руководством по эксплуатации операционной системы,ПК-4,
,,,,ТД.2,Инсталляция файл-сервера,ПК-4,
,,,,ТД.3,Инсталляция программного обеспечения рабочих станций,ПК-4,
,,,,ТД.4,Планирование структур каталогов (директорий),ПК-4,
,,,,ТД.5,Планирование пользователей и групп пользователей,ПК-4,
,,,,ТД.6,Планирование процедур защиты информации,ПК-4,
,,,,Зн.1,Максимальные ограничения по поддерживаемой операционной системой оперативной и дисковой памяти,ПК-4,
,,,,Зн.2,Принципы информационной безопасности инфокоммуникационной системы,ПК-4,
,,,,Зн.3,Модели доступа пользователей к инфокоммуникационной системе,ПК-4,
,,,,Зн.4,Основы администрирования операционной системы,ПК-4,
,,,,Зн.5,Основы безопасности функционирования инфокоммуникационной системы,ПК-4,
,06.027,,,,СПЕЦИАЛИСТ ПО АДМИНИСТРИРОВАНИЮ СЕТЕВЫХ УСТРОЙСТВ ИНФОРМАЦИОННО-КОММУНИКАЦИОННЫХ СИСТЕМ,ПК-4,
,,C,,,Администрирование процесса контроля производительности сетевых устройств и программного обеспечения,ПК-4,"Высшее образование - бакалавриат
или
Среднее профессиональное образование - программы подготовки специалистов среднего звена
Дополнительное профессиональное образование - программы повышения квалификации, программы профессиональной переподготовки в области информационной безопасности инфокоммуникационных систем и/или их составляющих"
,,,C/01.6,,Оценка производительности сетевых устройств и программного обеспечения,ПК-4,
,,,,ТД.1,"Оценка производительности критических приложений, наиболее сильно влияющих на производительность сетевых устройств и программного обеспечения в целом",ПК-4,
,,,,ТД.2,Планирование требуемой производительности администрируемой сети,ПК-4,
,,,,ТД.3,Фиксирование оценки готовности системы в специальном документе,ПК-4,
,,,,Зн.1,"Общие принципы функционирования аппаратных, программных и программно-аппаратных средств администрируемой сети",ПК-4,
,,,,Зн.2,"Архитектура аппаратных, программных и программно-аппаратных средств администрируемой сети",ПК-4,
,,,,Зн.3,Устройство и принцип работы кабельных и сетевых анализаторов,ПК-4,
,,,,Зн.5,Метрики производительности администрируемой сети,ПК-4,
,,,,Зн.6,"Протоколы канального, сетевого, транспортного и прикладного уровней модели взаимодействия открытых систем",ПК-4,
,,,,Зн.7,Модель OSI/ISO,ПК-4,
,,,,Зн.8,Инструкции по установке администрируемых сетевых устройств,ПК-4,
,,,,Зн.9,Инструкции по эксплуатации администрируемых сетевых устройств,ПК-4,
,,,,Зн.10,Инструкции по установке администрируемого программного обеспечения,ПК-4,
,,,,Зн.11,Инструкции по эксплуатации администрируемого программного обеспечения,ПК-4,
,,,C/03.6,,Управление средствами тарификации сетевых ресурсов,ПК-4,
,,,,У.1,Конфигурировать операционные системы сетевых устройств администрируемой сети,ПК-4,
,,,C/04.6,,Коррекция производительности сетевой инфокоммуникационной системы,ПК-4,
,,,,ТД.1,Возврат базовых параметров производительности сетевых устройств инфокоммуникационной системы к номинальным значениям,ПК-4,
,,,,ТД.2,Добавление новых интерфейсов сетевых устройств,ПК-4,
,,,,ТД.3,Добавление каналов ввода-вывода серверов (в зависимости от возможностей операционной системы),ПК-4,
,,,,ТД.4,Изменение конфигурации сетевых устройств,ПК-4,
,,,,ТД.5,Изменение путей прохождения трафика с обходом узких мест сетевой инфокоммуникационной системы,ПК-4,
,,,,ТД.6,Изменение параметров загрузки операционной системы и системы управления базой данных,ПК-4,
,,,,ТД.7,Изменение методов доступа к данным,ПК-4,
,,,,ТД.8,Полная модификация части администрируемой сети с изменением ее архитектуры,ПК-4,
,,,,Зн.1,"Общие принципы функционирования аппаратных, программных и программно-аппаратных средств администрируемой сети",ПК-4,
,,,,Зн.2,"Архитектура аппаратных, программных и программно-аппаратных средств администрируемой сети",ПК-4,
,,,,Зн.3,Инструкции по установке администрируемых сетевых устройств,ПК-4,
,,,,Зн.4,Инструкции по эксплуатации администрируемых сетевых устройств,ПК-4,
,,,,Зн.5,Инструкции по установке администрируемого программного обеспечения,ПК-4,
,,,,Зн.6,Инструкции по эксплуатации администрируемого программного обеспечения,ПК-4,
,,,,Зн.7,"Протоколы канального, сетевого, транспортного и прикладного уровней модели взаимодействия открытых систем",ПК-4,
,,,,Зн.8,Модель ISO для управления сетевым трафиком,ПК-4,
,,,,Зн.9,Модели IEEE,ПК-4,
,,D,,,Администрирование процесса управления безопасностью сетевых устройств и программного обеспечения,ПК-4,"Высшее образование - бакалавриат
или
Среднее профессиональное образование - программы подготовки специалистов среднего звена
Дополнительное профессиональное образование - программы повышения квалификации, программы профессиональной переподготовки в области информационной безопасности инфокоммуникационных систем и/или их составляющих"
,,,D/01.6,,Определение параметров безопасности и защиты программного обеспечения сетевых устройств,ПК-4,
,,,,ТД.1,Планирование защиты приложений от несанкционированного доступа,ПК-4,
,,,,ТД.2,Оценка безопасности и защиты приложений от несанкционированного доступа,ПК-4,
,,,,ТД.3,Планирование защиты операционных систем от несанкционированного доступа,ПК-4,
,,,,ТД.4,Оценка защиты операционных систем от несанкционированного доступа,ПК-4,
,,,,У.3,Применять программные средства защиты сетевых устройств от несанкционированного доступа,ПК-4,
,,,,Зн.1,"Общие принципы функционирования аппаратных, программных и программно-аппаратных средств администрируемой сети",ПК-4,
,,,,Зн.2,"Архитектура аппаратных, программных и программно-аппаратных средств администрируемой сети",ПК-4,
,,,,Зн.3,Классификация операционных систем согласно классам безопасности,ПК-4,
,,,,Зн.4,Средства защиты от несанкционированного доступа операционных систем и систем управления базами данных,ПК-4,
,,,,Зн.5,Инструкции по установке администрируемых сетевых устройств,ПК-4,
,,,,Зн.6,Инструкции по эксплуатации администрируемых сетевых устройств,ПК-4,
,,,,Зн.7,Инструкции по установке администрируемого программного обеспечения,ПК-4,
,,,,Зн.8,Инструкции по эксплуатации администрируемого программного обеспечения,ПК-4,
,,,,Зн.9,"Протоколы канального, сетевого, транспортного и прикладного уровней модели взаимодействия открытых систем",ПК-4,
,,,,Зн.10,Модель ISO для управления сетевым трафиком,ПК-4,
,,,,Зн.11,Модели IEEE,ПК-4,
,,,,Зн.12,Защищенные протоколы управления,ПК-4,
,06.028,,,,СИСТЕМНЫЙ ПРОГРАММИСТ,ПК-2; ПК-3,
,,A,,,Разработка компонентов системных программных продуктов,ПК-2,"Высшее образование - бакалавриат
Дополнительное профессиональное образование - программы повышения квалификации, программы профессиональной переподготовки в области компьютерных технологий и программного обеспечения"
,,,A/02.6,,"Разработка компиляторов, загрузчиков, сборщиков",ПК-2,
,,,,ТД.2,"Изучение технической документации по языку программирования, системе команд процессора устройства, адресации памяти и регистров процессора устройства",ПК-2,
,,,,ТД.4,"Написание исходного кода компиляторов, загрузчиков, сборщиков",ПК-2,
,,,,ТД.5,"Отладка компиляторов, загрузчиков, сборщиков",ПК-2,
,,,,У.2,Применять технологию разработки компиляторов,ПК-2,
,,,,Зн.5,Технологии разработки компиляторов,ПК-2,
,,,,Зн.7,Методы и основные этапы трансляции,ПК-2,
,,E,,,Интеграция разработанного системного программного обеспечения,ПК-3,"Высшее образование - специалитет, магистратура
Дополнительное профессиональное образование - программы повышения квалификации, программы профессиональной переподготовки в области компьютерных технологий и программного обеспечения"
,,,E/01.7,,Планирование интеграции разработанного системного программного обеспечения,ПК-3,
,,,,У.5,Работать в используемой системе управления требованиями,ПК-3,
,,,,Зн.5,"Скриптовые языки, средства управления заданиями",ПК-3,
,,,,Зн.9,Принципы построения сетевого взаимодействия,ПК-3,
,,,,Зн.13,Устройство и принципы функционирования информационных систем,ПК-3,
,,,,Зн.16,Программные средства и платформы инфраструктуры информационных технологий,ПК-3,
,,,E/02.7,,Внедрение разработанного системного программного обеспечения,ПК-3,
,,,,Зн.5,"Скриптовые языки, средства управления заданиями",ПК-3,
,06.041,,,,СПЕЦИАЛИСТ ПО ИНТЕГРАЦИИ ПРИКЛАДНЫХ РЕШЕНИЙ,ПК-2,
,,C,,,Выполнение работ по созданию (модификации) и сопровождению интеграционных решений,ПК-2,"Высшее образование - бакалавриат
Дополнительное профессиональное образование - программы повышения квалификации"
,,,C/01.6,,Инженерно-технологическая поддержка процесса согласования требований к интеграционному решению,ПК-2,
,,,,ТД.1,Анализ требований заказчика к интеграционному решению,ПК-2,
,,,,ТД.2,Определение возможности достижения соответствия интеграционного решения первоначальным требованиям заказчика,ПК-2,
,,,,ТД.3,Подготовка фрагментов технического задания на создание (модификацию) интеграционного решения,ПК-2,
,,,,ТД.4,Информирование заказчика о возможностях и технологиях создания (модификации) и ввода в эксплуатацию интеграционных решений,ПК-2,
,,,,ТД.5,Оценка и согласование объемов работ и сроков их выполнения,ПК-2,
,,,,У.1,Анализировать требования заказчика к интеграционному решению,ПК-2,
,,,,У.2,Вырабатывать варианты реализации требований заказчика к интеграционному решению,ПК-2,
,,,,У.3,Создавать инженерную документацию на интеграционное решение,ПК-2,
,,,,У.4,Оценивать объемы работ и сроки их выполнения,ПК-2,
,,,,У.5,Осуществлять коммуникации с заинтересованными сторонами,ПК-2,
,,,,Зн.1,Принципы и технологии функционирования современных интеграционных платформ,ПК-2,
,,,,Зн.2,Современные стандарты информационного взаимодействия систем,ПК-2,
,,,,Зн.3,Программные средства и платформы инфраструктуры информационных технологий организаций,ПК-2,
,,,,Зн.4,Методы оценки объемов и сроков выполнения работ,ПК-2,
,,,,Зн.5,Технологии выполнения работ в организации,ПК-2,
,,,,Зн.6,"Технологии межличностной и групповой коммуникации в деловом взаимодействии, основы конфликтологии",ПК-2,
,,,,Зн.7,Правила деловой переписки,ПК-2,
,,,C/02.6,,Конфигурирование интеграционного решения на базе интеграционной платформы,ПК-2,
,,,,ТД.1,Развертывание и настройка выбранной интеграционной платформы в соответствии с техническими спецификациями на интеграционное решение,ПК-2,
,,,,ТД.2,"Сборка программных модулей, сервисов и компонент интеграционного решения на базе выбранной интеграционной платформы в соответствии с техническими спецификациями",ПК-2,
,,,,ТД.3,Подключение интеграционного решения к компонентам внешней среды,ПК-2,
,,,,ТД.4,Проверка работоспособности интеграционного решения,ПК-2,
,,,,ТД.5,Оценка и согласование сроков выполнения поставленных задач,ПК-2,
,,,,У.1,Выполнять процедуры развертывания и настройки выбранной интеграционной платформы,ПК-2,
,,,,У.2,"Выполнять процедуры сборки программных модулей, сервисов и компонент интеграционного решения в соответствии с техническим заданием",ПК-2,
,,,,У.3,Производить настройки параметров выбранной интеграционной платформы,ПК-2,
,,,,У.4,Производить оценку работоспособности интеграционного решения,ПК-2,
,,,,У.5,"Документировать произведенные действия, выявленные проблемы и способы их устранения",ПК-2,
,,,,У.6,Выявлять соответствие требований заказчика развернутому интеграционному решению,ПК-2,
,,,,У.7,"Настраивать и обслуживать систему резервирования, восстановления и обеспечения целостности интеграционного решения",ПК-2,
,,,,Зн.1,Принципы и технологии функционирования выбранной интеграционной платформы,ПК-2,
,,,,Зн.2,"Типовые ошибки, возникающие при развертывании и настройке интеграционного решения и его компонент, и признаки их проявления",ПК-2,
,,,,Зн.3,Современные стандарты информационного взаимодействия систем,ПК-2,
,,,,Зн.4,Программные средства и платформы инфраструктуры информационных технологий организаций,ПК-2,
,,,,Зн.5,"Методы и средства сборки и интеграции программных модулей, сервисов и компонент",ПК-2,
,,,,Зн.6,Методы оценки объемов и сроков выполнения работ,ПК-2,
,,,,Зн.7,Технологии выполнения работ в организации,ПК-2,
,,,C/03.6,,Исправление ошибок в процессе эксплуатации интеграционного решения,ПК-2,
,,,,ТД.1,Анализ отклонений от штатного режима работы интеграционного решения и их устранение,ПК-2,
,,,,ТД.2,Внесение изменений в интеграционное решение для устранения ошибок,ПК-2,
,,,,ТД.3,Подготовка технической документации на изменение интеграционного решения для устранения ошибок,ПК-2,
,,,,У.1,Производить оценку работоспособности интеграционного решения,ПК-2,
,,,,У.2,"Документировать произведенные действия, выявленные проблемы и способы их устранения",ПК-2,
,,,,У.3,Применять методы и средства проверки работоспособности интеграционного решения,ПК-2,
,,,,У.4,"Применять методы и средства управления запросами на изменения, выявления дефектов и проблем, причин их возникновения",ПК-2,
,,,,У.5,Создавать инженерную документацию,ПК-2,
,,,,У.6,Оценивать объемы работ и сроки их выполнения,ПК-2,
,,,,У.7,Осуществлять коммуникации с заинтересованными сторонами,ПК-2,
,,,,Зн.1,"Типовые ошибки, возникающие при работе интеграционного решения и его компонент, и признаки их проявления",ПК-2,
,,,,Зн.2,"Методы устранения типовых ошибок, возникающих при работе интеграционного решения",ПК-2,
,,,,Зн.3,"Внутренние нормативные документы, регламентирующие порядок регистрации и обработки запросов, учета отклонений",ПК-2,
,,,,Зн.4,Технические условия соглашения об уровне обслуживания сопровождаемого интеграционного решения,ПК-2,
,,,C/04.6,,Разработка технической документации на интеграционное решение,ПК-2,
,,,,ТД.1,Подготовка технической документации на развертывание и настройку интеграционного решения,ПК-2,
,,,,ТД.2,Подготовка документации пользователя интеграционного решения,ПК-2,
,,,,ТД.3,Подготовка программы и методики испытаний интеграционного решения в соответствии с техническим заданием,ПК-2,
,,,,ТД.4,Подготовка тестовых наборов данных в соответствии с выбранной программой и методикой испытаний,ПК-2,
,,,,ТД.5,Оценка и согласование сроков выполнения поставленных задач,ПК-2,
,,,,У.1,Разрабатывать техническую документацию на развертывание и настройку интеграционного решения,ПК-2,
,,,,У.2,Разрабатывать документацию пользователя интеграционного решения,ПК-2,
,,,,У.3,Разрабатывать и оформлять программу и методику испытаний интеграционного решения на основе технического задания,ПК-2,
,,,,У.4,Разрабатывать тестовые наборы данных в соответствии с выбранной программой и методикой испытаний интеграционного решения,ПК-2,
,,,,Зн.1,Методы создания и документирования контрольных примеров и тестовых наборов данных,ПК-2,
,,,,Зн.2,"Правила, алгоритмы и технологии создания тестовых наборов данных",ПК-2,
,,,,Зн.3,Требования к структуре и форматам хранения тестовых наборов данных,ПК-2,
,,,,Зн.4,"Внутренние нормативные документы, регламентирующие порядок документирования результатов тестирования и испытаний",ПК-2,
,,,,Зн.5,Государственные стандарты по испытанию автоматизированных систем,ПК-2,
,,,,Зн.6,Руководящие документы по стандартизации требований к документам автоматизированных систем,ПК-2,
25,,,,,РАКЕТНО-КОСМИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ,,
,25.027,,,,СПЕЦИАЛИСТ ПО РАЗРАБОТКЕ АППАРАТУРЫ БОРТОВЫХ КОСМИЧЕСКИХ СИСТЕМ,ПК-1; ПК-2; ПК-3; ПК-4,
,,A,,,Операционно-техническое сопровождение разработки функциональных узлов бортовой аппаратуры (БА) космических аппаратов (КА),ПК-1; ПК-2; ПК-3,"Среднее профессиональное образование - программы подготовки специалистов среднего звена
Высшее образование - бакалавриат"
,,,A/01.5,,Техническое сопровождение выпуска КД в процессе разработки БА КА,ПК-1; ПК-2; ПК-3,
,,,,ТД.1,Оформление КД БА КА,ПК-2,
,,,,У.1,Работать с офисным программным обеспечением (ПО),ПК-3,
,,,,У.2,Работать в системах автоматизированного проектирования (САПР),ПК-1; ПК-3,
,,,,У.3,Оформлять документы в соответствии с требованиями стандартов Единой системы конструкторской документации (ЕСКД),ПК-3,
,,,,Зн.3,Основы электроники в объеме выполняемой функции,ПК-1,
,,,,Зн.6,Основы схемотехники функциональных узлов БА КА в объеме выполняемой функции,ПК-1,
,,,A/02.5,,Проведение расчетов для разработки функциональных узлов БА КА,ПК-1; ПК-2,
,,,,ТД.1,Анализ входных данных для выполнения расчетов при разработке функциональных узлов БА КА,ПК-2,
,,,,У.4,Рассчитывать характеристики электрических цепей для разработки функциональных узлов БА КА,ПК-2,
,,,,У.5,Работать в САПР,ПК-1,
,,,,У.6,Оформлять документы в соответствии с требованиями стандартов ЕСКД,ПК-2,
,,,,Зн.2,Основы электроники в объеме выполняемой функции,ПК-1,
,,,,Зн.5,Основы схемотехники функциональных узлов БА КА в объеме выполняемой функции,ПК-1,
,,,A/03.5,,Проведение испытаний функциональных узлов БА КА,ПК-1; ПК-2; ПК-3,
,,,,ТД.1,Макетирование механических узлов БА КА,ПК-3,
,,,,ТД.2,Макетирование электронных узлов БА КА,ПК-3,
,,,,ТД.5,Подготовка отчетов о результатах проведенных испытаний узлов БА КА,ПК-3,
,,,,У.3,Отрабатывать монтаж и демонтаж БА КА,ПК-2,
,,,,У.7,Работать в САПР,ПК-3,
,,,,У.8,Работать с офисным ПО,ПК-3,
,,,,У.9,Оформлять документы в соответствии с требованиями стандартов ЕСКД,ПК-2,
,,,,Зн.7,Основы электроники в объеме выполняемой функции,ПК-1,
,,,,Зн.10,Основы схемотехники функциональных узлов БА КА в объеме выполняемой функции,ПК-1,
,,B,,,Модернизация и техническое сопровождение разработки БА КА,ПК-1; ПК-2; ПК-3; ПК-4,Высшее образование
,,,B/01.6,,Разработка технической документации для БА КА на основе модернизируемых технических решений,ПК-1; ПК-2; ПК-3; ПК-4,
,,,,ТД.3,Модернизация технических решений по разработке БА КА,ПК-1,
,,,,У.1,Использовать типовые технические решения функциональных узлов и блоков БА КА для разработки БА КА,ПК-1,
,,,,У.5,Работать с офисным ПО,ПК-3,
,,,,У.6,Работать в САПР,ПК-1; ПК-3,
,,,,У.7,Оформлять документы в соответствии с требованиями стандартов ЕСКД,ПК-2,
,,,,Зн.2,Условия эксплуатации проектируемой БА КА,ПК-4,
,,,,Зн.7,Основы электроники в объеме выполняемой функции,ПК-1,
,,,,Зн.8,Основы проектирования и конструирования РЭА в объеме выполняемой функции,ПК-1,
,,,,Зн.10,Основы схемотехники функциональных узлов БА КА в объеме выполняемой функции,ПК-1,
,,,,Зн.14,Инженерная и компьютерная графика в объеме выполняемой функции,ПК-3,
,,,B/02.6,,Техническое сопровождение изготовления БА КА и осуществление авторского надзора,ПК-2; ПК-3,
,,,,ТД.6,Контроль выполнения требований КД при сборке БА КА,ПК-2,
,,,,У.4,Работать с офисным ПО,ПК-3,
,,,,У.5,Оформлять документы в соответствии с требованиями стандартов ЕСКД,ПК-2,
,,,B/03.6,,"Проведение исследований и испытаний БА КА и входящих в нее функциональных узлов, разработанных на основе модернизируемых технических решений",ПК-1; ПК-2; ПК-3,
,,,,У.6,Проводить электрические испытания БА КА,ПК-3,
,,,,У.7,Работать с офисным ПО,ПК-3,
,,,,У.8,Работать в САПР,ПК-1; ПК-3,
,,,,У.9,Оформлять документы в соответствии с требованиями стандартов ЕСКД,ПК-2,
,25.036,,,,СПЕЦИАЛИСТ ПО ЭЛЕКТРОНИКЕ БОРТОВЫХ КОМПЛЕКСОВ УПРАВЛЕНИЯ,ПК-1; ПК-2; ПК-3; ПК-4,
,,A,,,Документальное и операционно-техническое сопровождение процесса создания и эксплуатации электронных средств и электронных систем бортовых комплексов управления (БКУ),ПК-1; ПК-2; ПК-3; ПК-4,"Среднее профессиональное образование - программы подготовки специалистов среднего звена или
Высшее образование - бакалавриат"
,,,A/01.5,,Документальное сопровождение процесса создания и эксплуатации электронных средств и электронных систем БКУ,ПК-1; ПК-2,
,,,,ТД.1,Оформление конструкторской документации на электронные средства и электронные системы БКУ,ПК-2,
,,,,ТД.2,Оформление отчетной документации по результатам исследований и отработки новых электронных средств и электронных систем БКУ,ПК-2,
,,,,У.1,"Осуществлять поиск и использование информации, необходимой для эффективного выполнения профессиональных задач",ПК-1,
,,,,У.2,Работать с доступными источниками информации и базами данных,ПК-1,
,,,,У.5,"Использовать справочные материалы для корректного оформления и составления конструкторской, отчетной и сопроводительной документации",ПК-2,
,,,,У.7,"Работать в информационно-коммуникационном пространстве, выполнять расчеты с использованием программных средств общего и специального назначения",ПК-2,
,,,A/02.5,,Операционное сопровождение процесса создания электронных средств и электронных систем БКУ,ПК-1; ПК-2; ПК-3,
,,,,ТД.2,Прикладная отработка и отладка узлов электронных средств и электронных систем БКУ,ПК-2,
,,,,У.2,Применять средства моделирования и макетирования для операционного сопровождения процесса создания электронных средств и электронных систем БКУ,ПК-3,
,,,,У.6,Работать с современными системами автоматизированного проектирования и системами электронного документооборота,ПК-3,
,,,,Зн.4,Стандарты единой системы технологической документации (ЕСТД) и ЕСКД,ПК-2,
,,,,Зн.5,Аналоговая и цифровая схемотехника,ПК-1,
,,,A/03.5,,Техническое обслуживание и ремонт электронных средств и электронных систем БКУ,ПК-2; ПК-3; ПК-4,
,,,,ТД.1,Техническое обслуживание электронных средств и электронных систем БКУ в процессе эксплуатации,ПК-4,
,,,,У.1,Настраивать и регулировать электронные приборы и устройства,ПК-3,
,,,,У.7,Использовать справочные материалы для корректного технического обслуживания и ремонта электронных средств и электронных систем БКУ,ПК-2,
,,B,,,Создание электронных средств и электронных систем БКУ,ПК-1; ПК-2; ПК-3,Высшее образование
,,,B/01.6,,Проведение исследований электронных средств и электронных систем БКУ,ПК-1; ПК-2; ПК-3,
,,,,ТД.4,Составление сопроводительной и отчетной документации при проведении исследований электронных средств и электронных систем БКУ,ПК-2,
,,,,ТД.5,Выполнение научно-исследовательских и опытно-конструкторских работ электронных средств и электронных систем БКУ,ПК-1; ПК-2,
,,,,У.1,"Осуществлять поиск, хранение, обработку и анализ информации из различных источников и баз данных, применяя современные информационные, компьютерные и сетевые технологии",ПК-1; ПК-2,
,,,,У.4,Производить моделирование и тестирование электронного оборудования,ПК-3,
,,,,У.9,Работать с современными системами автоматизированного проектирования и системами электронного документооборота,ПК-3,
,,,,У.11,"Осваивать новые образцы программных, технических средств и информационных технологий",ПК-1; ПК-2; ПК-3,
,,,,Зн.7,Аналоговая и цифровая схемотехника,ПК-1; ПК-2,
,,,B/02.6,,Проектирование электронных средств и электронных систем БКУ и осуществление контроля над их изготовлением,ПК-1; ПК-2; ПК-3,
,,,,ТД.2,Отработка и отладка схемотехнических и конструкторских проектов электронных средств и электронных систем БКУ,ПК-3,
,,,,ТД.4,Техническая поддержка при разработке системного проектирования и концепции построения электронных средств и электронных систем БКУ,ПК-3,
,,,,ТД.8,Составление сопроводительной и отчетной документации при проектировании электронных средств и электронных систем БКУ,ПК-2,
,,,,У.1,"Осуществлять поиск, хранение, обработку и анализ информации из различных источников и баз данных, применяя современные информационные, компьютерные и сетевые технологии",ПК-1,
,,,,У.2,Работать с современными системами автоматизированного проектирования и системами электронного документооборота,ПК-3,
,,,,У.3,"Работать в информационно-коммуникационном пространстве, производить расчеты с использованием программных средств общего и специального назначения",ПК-1,
,,,,У.4,"Использовать языки, системы и инструментальные средства программирования в профессиональной деятельности",ПК-1,
,,,,Зн.1,Языки программирования и языки поведенческого описания,ПК-2,
,,,,Зн.6,Аналоговая и цифровая схемотехника,ПК-1; ПК-2,
,,,,Зн.7,Электротехника и электроника,ПК-1; ПК-2,
,,,B/03.6,,Испытание опытных образцов и модернизация электронных средств и электронных систем БКУ,ПК-2; ПК-3,
,,,,ТД.2,Проведение испытаний электронных средств и электронных систем БКУ по разработанным методикам,ПК-3,
,,,,ТД.3,Сопровождение серийно изготавливаемых электронных средств и электронных систем БКУ и их модернизация,ПК-2,
,,,B/04.6,,Планирование и контроль технического обслуживания и ремонта электронных средств и электронных систем БКУ,ПК-1; ПК-2; ПК-3,
,,,,ТД.4,Составление сопроводительной и отчетной документации по эксплуатации электронных средств и электронных систем БКУ,ПК-2,
,,,,У.1,"Осуществлять поиск, хранение, обработку и анализ информации из различных источников и баз данных, применяя современные информационные, компьютерные и сетевые технологии",ПК-1,
,,,,У.2,Работать с современными системами автоматизированного проектирования и системами электронного документооборота,ПК-1; ПК-3,
